"Payment has been completed.","Оплата завершена."
"Contract number for ComePay is: %s","Для оплаты в ComePay номер счета для пополнения: %s"
"Transaction is registered. Please proceed payment with ComePay cash payment terminals using following <b>PayAnyWay</b> account number:","Операция создана, но не оплачена. Для завершения операции Вам необходимо произвести перечисление средств в систему <b>PayAnyWay</b> через терминалы ComePay, используя данный код:"
"Contract number for Contact is: %s","Для оплаты в системе Contact номер счета для пополнения: %s"
"Transaction is registered. Please proceed payment with Contact payment system using following <b>MONETA.RU</b> account number:","Операция создана, но не оплачена. Для завершения операции Вам необходимо произвести перечисление средств в систему <b>МОНЕТА.РУ</b> через систему Contact, используя вместо номера счета для пополнения данный код:"
"Contract number for Elecsnet is: %s","Для оплаты в Элекснет номер счета для пополнения: %s"
"Transaction is registered. Please proceed payment with Elecsnet cash payment terminals using following <b>PayAnyWay</b> account number:","Операция создана, но не оплачена. Для завершения операции Вам необходимо произвести перечисление средств в систему <b>PayAnyWay</b> через терминалы Элекснет, используя данный код:"
"Contract number for Euroset is: %s","Для оплаты через Евросеть номер счета для пополнения: %s"
"Transaction is registered. Please proceed payment with Euroset using following <b>PayAnyWay</b> account number:","Операция создана, но не оплачена. Для завершения операции Вам необходимо произвести перечисление средств в систему <b>PayAnyWay</b> через Евросеть, используя данный код:"
"Contract number for Federal system GOROD is: %s","Для оплаты через Федеральную Систему ГОРОД номер счета для пополнения: %s"
"Transaction is registered. Please proceed payment with Federal system GOROD using following <b>PayAnyWay</b> account number:","Операция создана, но не оплачена. Для завершения операции Вам необходимо произвести перечисление средств в систему <b>PayAnyWay</b> через Федеральную Систему ГОРОД, используя данный код:"
"Contract number for Forward Mobile is: %s","Для оплаты через Форвард Мобайл номер счета для пополнения: %s"
"Transaction is registered. Please proceed payment with Forward Mobile system using following <b>MONETA.RU</b> account number:","Операция создана, но не оплачена. Для завершения операции Вам необходимо произвести перечисление средств в систему <b>МОНЕТА.РУ</b> через Форвард Мобайл, используя вместо номера счета для пополнения данный код:"
"Contract number for MosCreditBank is: %s","Для оплаты через терминалы МосКредитБанка номер счета для пополнения: %s"
"Transaction is registered. Please proceed payment with MosCreditBank cash payment terminals using following <b>MONETA.RU</b> account number:","Операция создана, но не оплачена. Для завершения операции Вам необходимо произвести перечисление средств в систему <b>МОНЕТА.РУ</b> через терминалы Московского Кредитного Банка, используя вместо номера счета для пополнения данный код:"
"Contract number for NovoPlat is: %s","Для оплаты через NovoPlat номер счета для пополнения: %s"
"Transaction is registered. Please proceed payment with NovoPlat system using following <b>PayAnyWay</b> account number:","Операция создана, но не оплачена. Для завершения операции Вам необходимо произвести перечисление средств в систему <b>PayAnyWay</b> через NovoPlat, используя данный код:"
"Contract number for PLATiKA is: %s","Для оплаты через PLATiKA номер счета для пополнения: %s"
"Transaction is registered. Please proceed payment with PLATiKA system using following <b>MONETA.RU</b> account number:","Операция создана, но не оплачена. Для завершения операции Вам необходимо произвести перечисление средств в систему <b>МОНЕТА.РУ</b> через систему PLATiKA, используя вместо номера счета для пополнения данный код:"
"Contract number for Sberbank is: %s","Для оплаты через Сбербанк номер счета для пополнения: %s"
"Transaction is registered. Please proceed payment with Sberbank using following <b>MONETA.RU</b> account number:","Операция создана, но не оплачена. Для завершения операции Вам необходимо произвести перечисление средств в систему <b>МОНЕТА.РУ</b> через Сбербанк, используя вместо номера счета для пополнения данный код:"
"Or click on <a href=""https://online.sberbank.ru/"">link</a> to pay by SberbankOnline.","Вы также можете перейти по <a href=""https://online.sberbank.ru/"">ссылке</a> для оплаты с помощью системы СбербанкОнлайн."

"Internet-bank login","Логин в интернет-банке"
"Payment purpose","Назначение платежа"
"E-mail in Money@Mail.Ru","E-mail в Money@Mail.Ru"
"Phone number formatted as 10 digits, w/o +7 or 8","Номер телефона в формате: 10 цифр, без +7 или 8"
"Comment","Комментарий"

"Canceled by payment system.","Отменено платежной системой."
